accession_id,latitude,longitude,taxon,trait_descriptor,trait_sub_descriptor,trait_observation_value,trait_is_nominal
PI 527259,-20.42,32.68,Vigna unguiculata,Population,Q2,0.1032,false
PI 527259,-20.42,32.68,Vigna unguiculata,Population,Q3,0.2854,false
PI 527259,-20.42,32.68,Vigna unguiculata,Population,Q4,0.0022,false
PI 527277,-20.08,31.67,Vigna unguiculata,Population,Q1,0.6211,false
PI 527277,-20.08,31.67,Vigna unguiculata,Population,Q2,0.1004,false
PI 527277,-20.08,31.67,Vigna unguiculata,Population,Q3,0.2385,false
PI 527277,-20.08,31.67,Vigna unguiculata,Population,Q4,0.04,false
PI 582701,-22.33,24.68,Vigna unguiculata,Population,Q1,0.6689,false
PI 582701,-22.33,24.68,Vigna unguiculata,Population,Q2,0.0064,false
PI 582701,-22.33,24.68,Vigna unguiculata,Population,Q3,0.3117,false
PI 582701,-22.33,24.68,Vigna unguiculata,Population,Q4,0.013,false
PI 582707,-22.33,24.68,Vigna unguiculata,Population,Q1,0.7007,false
PI 582707,-22.33,24.68,Vigna unguiculata,Population,Q2,0.0184,false
PI 582707,-22.33,24.68,Vigna unguiculata,Population,Q3,0.0052,false
PI 582707,-22.33,24.68,Vigna unguiculata,Population,Q4,0.2757,false
PI 582805,-22.33,24.68,Vigna unguiculata,Population,Q1,0.7682,false
PI 582805,-22.33,24.68,Vigna unguiculata,Population,Q2,0.0694,false
PI 582805,-22.33,24.68,Vigna unguiculata,Population,Q3,0.161,false
PI 582805,-22.33,24.68,Vigna unguiculata,Population,Q4,0.0014,false
PI 583068,-22.33,24.68,Vigna unguiculata,Population,Q1,0.775,false
PI 583068,-22.33,24.68,Vigna unguiculata,Population,Q2,0.0602,false
PI 583068,-22.33,24.68,Vigna unguiculata,Population,Q3,0.1612,false
PI 583068,-22.33,24.68,Vigna unguiculata,Population,Q4,0.0036,false
PI 582718,-22.33,24.68,Vigna unguiculata,Population,Q1,0.7756,false
PI 582718,-22.33,24.68,Vigna unguiculata,Population,Q2,0.0088,false
PI 582718,-22.33,24.68,Vigna unguiculata,Population,Q3,0.0056,false
